15;0
17;0
18;0
15;0
18;0
16;0
19;0
9;0
16;0
16;0
18;0
14;0
19;0
15;0
20;0
13;0
16;0
20;0
18;0
19;0
19;0
21;0
19;0
22;0
20;0
16;0
18;0
19;0
16;0
19;0
17;0
20;0
10;0
17;0
17;0
19;0
15;0
20;0
16;0
21;0
14;0
17;0
21;0
19;0
20;0
20;0
22;0
20;0
23;0
21;0
16;0
18;0
19;0
16;0
19;0
17;0
20;0
10;0
17;0
17;0
19;0
15;0
20;0
16;0
21;0
14;0
17;0
21;0
19;0
20;0
20;0
22;0
20;0
23;0
21;0
17;0
19;0
20;0
17;0
20;0
18;0
21;0
11;0
18;0
18;0
20;0
16;0
21;0
17;0
22;0
15;0
18;0
22;0
20;0
21;0
21;0
23;0
21;0
24;0
17;0


